,title,company,salary,summary
1320,Harvest Technician,Sacred Garden,$12.35 - $14.00 an hour,"Must be able to pass both national and state background checks;Monitoring – Monitoring/Assessing performance of yourself, other individuals or organizations to…"
1321,,Century Bank,,"Answer and direct all incoming telephone calls.The receptionist is responsible for being the ""customer contact point"" he/she will direct calls to the…"
1322,Public Relations Manager,Georgia O'Keeffe Museum,"$60,000 - $62,000 a year","-*A bachelor’s degree in Communications, PR, Marketing, Market Research, English, Creative Writing or relevant field required."
1323,Operations/Maintenance Assistant,Santa Fe Vacation Rentals,$22.50 an hour,"Clerical office functions such as data entry, filing, and business correspondence.Coordination of every aspect of a reservation including confirmation,…"
1324,Substitute Teacher,St. Michael's High School,$20 an hour,"These are the students that attend St. Michael's, New Mexico's most historic school.We are taking extra measures and have a Return to School plan in place."
1325,Office Administrator,Temple Beth Shalom Preschool,From $16 an hour,"Primary Objectives: answering phones, emails, and inquiries about TBS; provide basic membership information; sort and distribute mail; prepare and send bulk…"
1326,Crew,Trader Joe's,$13 - $17 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
1327,Printing Press Operator,The Santa Fe New Mexican,$16 - $22 an hour,"We offer full-time work of 4 weekly 10 hour shifts.Our compensation package includes paid time off and benefits that include medical, dental, vision insurance,…"
1328,RURAL CARR ASSOC/SRV REG RTE,United States Postal Service,$19.06 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Loads mail in vehicle."
1329,Assistant Manager,Amazon.com Services LLC,,"A Bachelor’s Degree in Engineering, Operations, Supply Chain/Logistics, or a related field.Collaborate with all support teams including Safety, Ops Integration…"
1330,Part-time Delivery Driver,Sacred Garden,$15 - $17 an hour,"All applicants must have a valid driver's license, be insurable and have a clean driving record.Employee's own clothing, so long as it meets the company dress…"
1331,ARCHAEOLOGICAL TECHNICIAN,City of Santa Fe,,The Archaeology Technician performs a variety of complex technical duties to help expedite various phases of assigned projects and processes; and conducts…
1332,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
1333,Design Assistant/AutoCAD Drafter,Creative Interiors Inc.,From $16 an hour,"Duties include customer support, answering telephones, assisting designers in gathering materials for client meetings, ordering samples from various…"
1334,Dog Daycare Attendant,Santa Fe Tails,$13 - $15 an hour,"Maintain a clean facility by utilizing provided cleaning tools.Under the supervision of the Floor and Team Leader, Daycare Attendants are responsible for the…"
1335,,Century Bank,,"Answer and direct all incoming telephone calls.The receptionist is responsible for being the ""customer contact point"" he/she will direct calls to the…"
1336,Harvest Technician,Sacred Garden,$12.35 - $14.00 an hour,"Must be able to pass both national and state background checks;Monitoring – Monitoring/Assessing performance of yourself, other individuals or organizations to…"
1337,Public Relations Manager,Georgia O'Keeffe Museum,"$60,000 - $62,000 a year","-*A bachelor’s degree in Communications, PR, Marketing, Market Research, English, Creative Writing or relevant field required."
1338,Operations/Maintenance Assistant,Santa Fe Vacation Rentals,$22.50 an hour,"Clerical office functions such as data entry, filing, and business correspondence.Coordination of every aspect of a reservation including confirmation,…"
1339,Substitute Teacher,St. Michael's High School,$20 an hour,"These are the students that attend St. Michael's, New Mexico's most historic school.We are taking extra measures and have a Return to School plan in place."
1340,Office Administrator,Temple Beth Shalom Preschool,From $16 an hour,"Primary Objectives: answering phones, emails, and inquiries about TBS; provide basic membership information; sort and distribute mail; prepare and send bulk…"
1341,Printing Press Operator,The Santa Fe New Mexican,$16 - $22 an hour,"We offer full-time work of 4 weekly 10 hour shifts.Our compensation package includes paid time off and benefits that include medical, dental, vision insurance,…"
1342,Crew,Trader Joe's,$13 - $17 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
1343,RURAL CARR ASSOC/SRV REG RTE,United States Postal Service,$19.06 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Loads mail in vehicle."
1344,Part-time Delivery Driver,Sacred Garden,$15 - $17 an hour,"All applicants must have a valid driver's license, be insurable and have a clean driving record.Employee's own clothing, so long as it meets the company dress…"
1345,Assistant Manager,Amazon.com Services LLC,,"A Bachelor’s Degree in Engineering, Operations, Supply Chain/Logistics, or a related field.Collaborate with all support teams including Safety, Ops Integration…"
1346,Border Patrol Agent,U.S. Customs and Border Protection,,"Search Terms: *airport customs, armed security, army, bike patrol, border patrol, border security, coast guard, customs and immigration, customs officer, dhs,…"
1347,Design Assistant/AutoCAD Drafter,Creative Interiors Inc.,From $16 an hour,"Duties include customer support, answering telephones, assisting designers in gathering materials for client meetings, ordering samples from various…"
1348,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
1349,Dog Daycare Attendant,Santa Fe Tails,$13 - $15 an hour,"Maintain a clean facility by utilizing provided cleaning tools.Under the supervision of the Floor and Team Leader, Daycare Attendants are responsible for the…"
1350,,Century Bank,,"Answer and direct all incoming telephone calls.The receptionist is responsible for being the ""customer contact point"" he/she will direct calls to the…"
1351,Harvest Technician,Sacred Garden,$12.35 - $14.00 an hour,"Must be able to pass both national and state background checks;Monitoring – Monitoring/Assessing performance of yourself, other individuals or organizations to…"
1352,Public Relations Manager,Georgia O'Keeffe Museum,"$60,000 - $62,000 a year","-*A bachelor’s degree in Communications, PR, Marketing, Market Research, English, Creative Writing or relevant field required."
1353,Operations/Maintenance Assistant,Santa Fe Vacation Rentals,$22.50 an hour,"Clerical office functions such as data entry, filing, and business correspondence.Coordination of every aspect of a reservation including confirmation,…"
1354,Substitute Teacher,St. Michael's High School,$20 an hour,"These are the students that attend St. Michael's, New Mexico's most historic school.We are taking extra measures and have a Return to School plan in place."
1355,Office Administrator,Temple Beth Shalom Preschool,From $16 an hour,"Primary Objectives: answering phones, emails, and inquiries about TBS; provide basic membership information; sort and distribute mail; prepare and send bulk…"
1356,Printing Press Operator,The Santa Fe New Mexican,$16 - $22 an hour,"We offer full-time work of 4 weekly 10 hour shifts.Our compensation package includes paid time off and benefits that include medical, dental, vision insurance,…"
1357,Crew,Trader Joe's,$13 - $17 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
1358,Part-time Delivery Driver,Sacred Garden,$15 - $17 an hour,"All applicants must have a valid driver's license, be insurable and have a clean driving record.Employee's own clothing, so long as it meets the company dress…"
1359,RURAL CARR ASSOC/SRV REG RTE,United States Postal Service,$19.06 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Loads mail in vehicle."
1360,Border Patrol Agent,U.S. Customs and Border Protection,,"Search Terms: *airport customs, armed security, army, bike patrol, border patrol, border security, coast guard, customs and immigration, customs officer, dhs,…"
1361,Assistant Manager,Amazon.com Services LLC,,"A Bachelor’s Degree in Engineering, Operations, Supply Chain/Logistics, or a related field.Collaborate with all support teams including Safety, Ops Integration…"
1362,Design Assistant/AutoCAD Drafter,Creative Interiors Inc.,From $16 an hour,"Duties include customer support, answering telephones, assisting designers in gathering materials for client meetings, ordering samples from various…"
1363,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
1364,Dog Daycare Attendant,Santa Fe Tails,$13 - $15 an hour,"Maintain a clean facility by utilizing provided cleaning tools.Under the supervision of the Floor and Team Leader, Daycare Attendants are responsible for the…"
1365,,Century Bank,,"Answer and direct all incoming telephone calls.The receptionist is responsible for being the ""customer contact point"" he/she will direct calls to the…"
1366,Public Relations Manager,Georgia O'Keeffe Museum,"$60,000 - $62,000 a year","-*A bachelor’s degree in Communications, PR, Marketing, Market Research, English, Creative Writing or relevant field required."
1367,Harvest Technician,Sacred Garden,$12.35 - $14.00 an hour,"Must be able to pass both national and state background checks;Monitoring – Monitoring/Assessing performance of yourself, other individuals or organizations to…"
1368,Operations/Maintenance Assistant,Santa Fe Vacation Rentals,$22.50 an hour,"Clerical office functions such as data entry, filing, and business correspondence.Coordination of every aspect of a reservation including confirmation,…"
1369,Office Administrator,Temple Beth Shalom Preschool,From $16 an hour,"Primary Objectives: answering phones, emails, and inquiries about TBS; provide basic membership information; sort and distribute mail; prepare and send bulk…"
1370,Crew,Trader Joe's,$13 - $17 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
1371,RURAL CARR ASSOC/SRV REG RTE,United States Postal Service,$19.06 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Loads mail in vehicle."
1372,Assistant Manager,Amazon.com Services LLC,,"A Bachelor’s Degree in Engineering, Operations, Supply Chain/Logistics, or a related field.Collaborate with all support teams including Safety, Ops Integration…"
1373,Border Patrol Agent,U.S. Customs and Border Protection,,"Search Terms: *airport customs, armed security, army, bike patrol, border patrol, border security, coast guard, customs and immigration, customs officer, dhs,…"
1374,ARCHAEOLOGICAL TECHNICIAN,City of Santa Fe,,The Archaeology Technician performs a variety of complex technical duties to help expedite various phases of assigned projects and processes; and conducts…
1375,Game and Fish Warden Recruit,State of New Mexico,"$26,764 - $46,562 a year","Game, fish, and furbearers may be handled, restrained, or even field dressed and loaded in vehicles or other transports.Weekend and occasional holiday work."
1376,Program Analyst,US Department of Energy,"$92,143 - $141,548 a year","Certified verification of a disability from a licensed medical professional; a licensed vocational rehabilitation specialist; or any Federal, state, or District…"
1377,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
1378,Dog Daycare Attendant,Santa Fe Tails,$13 - $15 an hour,"Maintain a clean facility by utilizing provided cleaning tools.Under the supervision of the Floor and Team Leader, Daycare Attendants are responsible for the…"
1379,Design Assistant/AutoCAD Drafter,Creative Interiors Inc.,From $16 an hour,"Duties include customer support, answering telephones, assisting designers in gathering materials for client meetings, ordering samples from various…"
1380,Harvest Technician,Sacred Garden,$12.35 - $14.00 an hour,"Must be able to pass both national and state background checks;Monitoring – Monitoring/Assessing performance of yourself, other individuals or organizations to…"
1381,,Century Bank,,"Answer and direct all incoming telephone calls.The receptionist is responsible for being the ""customer contact point"" he/she will direct calls to the…"
1382,Operations/Maintenance Assistant,Santa Fe Vacation Rentals,$22.50 an hour,"Clerical office functions such as data entry, filing, and business correspondence.Coordination of every aspect of a reservation including confirmation,…"
1383,Office Administrator,Temple Beth Shalom Preschool,From $16 an hour,"Primary Objectives: answering phones, emails, and inquiries about TBS; provide basic membership information; sort and distribute mail; prepare and send bulk…"
1384,Crew,Trader Joe's,$13 - $17 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
1385,RURAL CARR ASSOC/SRV REG RTE,United States Postal Service,$19.06 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Loads mail in vehicle."
1386,Assistant Manager,Amazon.com Services LLC,,"A Bachelor’s Degree in Engineering, Operations, Supply Chain/Logistics, or a related field.Collaborate with all support teams including Safety, Ops Integration…"
