,title,company,salary,summary
2259,Warehouse Package Handler,FedEx Ground PH US,$15 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
2260,Amazon Seasonal Full-Time Time Warehouse Team Member,Amazon,$16.15 an hour,"Warehouse Team Member (Seasonal, Full-Time, Part-Time, Flexible Hours).From flexible part-time roles to full-time set schedules with health care benefits,…"
2261,Transportation Security Officer (TSO),Transportation Security Administration,$16.51 - $23.58 an hour,"Per the President's 2014 Fair Employment memo, TSA policy is to not adversely consider a candidate based on unemployment or financial difficulty through no…"
2262,,"LaserShip, Inc.",$14.50 an hour,"A job for which all ages, including older job seekers, are encouraged to apply.Our Freight Coordinator position works within a team to unload small packages…"
2263,Secretary 2021-2022 School Year,Jessamine County School District,,"Greet visitors and answer phone calls; answer questions, provide information or direct individual to appropriate department or District employee; open, sort and…"
2264,Seasonal Customer Service Associate,Amazon.com Services LLC,$15 an hour,"Support customers through typing, phone, and computer skills by navigating the internet and website, multiple browsers, email, social media, and instant…"
2265,Academic Coordinator,University of Kentucky,"$41,475 - $66,373 a year",TL strives to achieve the goal of enhancing the academic experience of students at UK by working closely with campus partners to develop student-responsive…
2266,AE - Brand Ambassador (Sales Associate) - US,American Eagle Outfitters,,Making your guests' day is your priority and you’re able to proactively resolve guest concerns while sticking to company policy.
2267,Travelling Order Selectors Needed! (starting at $20/hr),FHI,From $20 an hour,"Must commit to a minimum of 6-8 weeks on every assignment.Vocollect, voice selection, RF scanner experience a plus.Must be able to travel!$40 day per-diem."
2268,Supported Employment Specialist,Finck Supported Living Services of Kentucky,$15 - $40 an hour,"HS Diploma w/ job related experience, Bachelor Degree in Education, Social Work, or related field preferred.Assess skills, interests, abilities, etc. to write…"
2269,Family Support Specialist I,Commonwealth of Kentucky,"$2,207 a month","Substitute EXPERIENCE for EDUCATION: Administrative work, clerical office work, work dealing directly with the public , or experience in reviewing, monitoring,…"
2270,Benefits Specialist,SSBH of Lexington,"$40,000 - $60,000 a year",The additional 80% of the week will be spent sitting down with our members making sure they understand the benefits package they have requested through their…
2271,Practice Manager III/UKHC,University of Kentucky,"$61,630 - $100,485 a year","The ideal candidate will have a solid understanding of ambulatory practice management, leadership and communication, project and human resource management,…"
2272,Amazon Seasonal Full-Time Time Warehouse Team Member,Amazon,$16.15 an hour,"Warehouse Team Member (Seasonal, Full-Time, Part-Time, Flexible Hours).From flexible part-time roles to full-time set schedules with health care benefits,…"
2273,Hotel Maintenance Technician,Lexington Marriott City Center,$10.00 - $13.50 an hour,"Inspect and repair all equipment including, but not limited to: appliances, HVAC, electrical and plumbing components, boilers, pumps and swimming pool…"
2274,Legal Assistant/Receptionist,Harris Federal Law Firm,$15 - $17 an hour,"Phone consultations and case evaluation/qualification.Serve potential clients with effective, prompt and proactive communications."
2275,Associate Veterinarian,"Clark County Veterinary Clinic, Inc.","$80,000 - $100,000 a year",Clients wear masks and there are precautions with social distancing as well as our staff is in compliance too!Examine animals and check their health status.
2276,IT Coordinator,"Central Business Systems, Inc","$55,000 - $65,000 a year",Valid driver’s license and reliable transportation are necessary.Real-world experience in all technical careers a plus.IT Leadership: 3 years (Preferred).
2277,Content creation and management,Bluewater Sales,$25 - $35 an hour,Experienced videographer/ photographer with top notch technical and social media skills to create.SEO tools: 2 years (Preferred).
2278,Warehouse Team Member,Amazon HVH,,"Warehouse Team Member (Seasonal, Full-Time, Part-Time, Flexible Hours).From flexible part-time roles to full-time set schedules with health care benefits,…"
