,title,company,salary,summary
1013,Human Resources Specialist,Frankfort Plant Board,$21.96 an hour,"Qualified applicants must have a Bachelors degree in Human Resources, Public Administration, Business or related field plus, two years directly related human…"
1014,Management/Crew Members,Sonic Drive-In,Up to $16 an hour,Opportunities now exist for ALL Management and Hourly Positions throughout The Greater area of Lexington!*.High school diploma or equivalent required.
1015,Circulation Clerk,Paul Sawyier Public Library,$10.99 an hour,Answers telephones and provides routine information or refers and transfers calls.Welcomes patron inquiries and provides limited reference assistance from the…
1016,Office Coordinator (entry level) - BenchMark Physical Therap...,BenchMark Rehab Partners,,An Office Coordinator is an entry-level office role that is responsible for maintaining pleasant and consistent daily operations of the clinic.
1017,Administrative Specialist III,Commonwealth of Kentucky,"$2,427 - $3,884 a month","Serves as a point of contact for the Director’s office, including answering and directing phone calls and emails to appropriate Division, Department, or Cabinet…"
1018,Parks and Rec Seasonal/Part-Time,CITY OF FRANKFORT KY,,Age Requirement - 16 or older on first day.
1019,Revenue Auditor I,Commonwealth of Kentucky,,"Mostly at a desk using a computer and telephone.As an entry-level Revenue Auditor I for the Commonwealth of Kentucky, you will receive supervisory direction…"
1020,Assistant Hotel Manager,Confidential,"$40,000 - $45,000 a year","One (1) year hotel front desk/guest service experience strongly preferred.Ensure a safe and secure environment for guests, team members and hotel assets in…"
1021,Barista,Starbucks,$10 - $11 an hour,"A job for which all ages, including older job seekers, are encouraged to apply.Job Types: Full-time, Part-time.Guest Services: 1 year (Preferred)."
1022,Barista,Sage Garden Café,$10 - $15 an hour,Issue bills and accept payment.Deal with complaints or problems with a positive attitude.Collaborate with other restaurant servers and kitchen staff.
1023,Bank Teller/CSR,Whitaker Bank,,Perform routine branch and customer service duties; accept retail and commercial checking and savings deposits; process loan payments; cash checks and savings…
1024,Front Desk Receptionist,"Frankfort Animal Clinic, PSC",$8 - $15 an hour,"Perform other clerical receptionist duties such as filing, photocopying, transcribing and faxing.Answer, screen and forward incoming phone calls."
1025,Kennel Assistant,Tin Woof Inn,$10 - $12 an hour,Developing playgroups and supervising dog playtimes.Kennel staff take care of all pets in the building as well as maintain the kennel and surrounding areas…
