,title,company,salary,summary
480,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
481,Package Sorter - Amazon,Amazon Workforce Staffing,$15.00 - $18.50 an hour,"In this fast-paced, active role, you will play an important part in protecting customer trust by evaluating the condition of returned items to determine if they…"
482,Reservations Crew Trainee PT,JetBlue Airways Corporation,,"Ability to answer continuous calls and digital messages (i.e. chat, SMS text, email, etc.).Sell ancillary products from incoming calls."
483,Dock Worker Full-Time,ABF Freight,$18.01 - $25.73 an hour,"Dock Workers are responsible for loading and unloading trailers for the purpose of transporting a wide variety of cargo, moving cargo, driving a forklift, or…"
484,General Office/Clerical- PART-Time,DMRS,$15 - $17 an hour,"We have a permanent, part time office position available in a fast-paced, pleasant, team environment with a positive work atmosphere."
485,Engineering Technician,"Czero, Inc.","$40,000 - $75,000 a year","Experience troubleshooting mechanical, electrical and other systems.We offer complete turnkey solutions and specialize in the analysis, design, build, test,…"
486,Transportation Security Officer (TSO),Transportation Security Administration,$16.51 - $23.58 an hour,"Per the President's 2014 Fair Employment memo, TSA policy is to not adversely consider a candidate based on unemployment or financial difficulty through no…"
487,Production Worker,SKF,$17 - $21 an hour,"High School diploma/GED equivalent; specialized training or certification a plus.Growth opportunities, tuition reimbursement, voluntary critical illness…"
488,Head of Operations,Robotic Skies,,"10 years of experience in aviation operations, aviation maintenance, or a related technical field.Design, develop and deploy training and audit programs for…"
489,Dispatcher,University of Utah,$14 an hour,Answers incoming telephone calls on a multi-line telephone system.Disseminates all pertinent information to appropriate persons via telephone or two-way radio…
490,Client Service Coordinator in an Autism Therapy Setting,Autism Solutions,$18 - $22 an hour,Conduct tours of the school locations to potential client's parents.Coordinate client insurance coverage for therapy services.
491,Vault Teller/Teller,Cash Man Services,From $13 an hour,"Be responsible for accurately processing debit and credit transactions in compliance with established policies & procedures, while maintaining an acceptable…"
492,Personal Assistant,Confidential,"Up to $60,000 a year","A job for which all ages, including older job seekers, are encouraged to apply.Private home in Summit County seeking a responsible, professional Personal…"
493,,FedEx Ground PH US,Up to $23.25 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
494,Flight Attendant,SkyWest Airlines,$18.58 per flight hour,"Flight Hours: After successfully completing phase one and two of Initial New Hire training, new hire flight attendants are guaranteed 76 flight hours as a…"
495,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
496,Package Sorter - Amazon,Amazon Workforce Staffing,$15.00 - $18.50 an hour,"In this fast-paced, active role, you will play an important part in protecting customer trust by evaluating the condition of returned items to determine if they…"
497,Reservations Crew Trainee PT,JetBlue Airways Corporation,,"Ability to answer continuous calls and digital messages (i.e. chat, SMS text, email, etc.).Sell ancillary products from incoming calls."
498,Dock Worker Full-Time,ABF Freight,$18.01 - $25.73 an hour,"Dock Workers are responsible for loading and unloading trailers for the purpose of transporting a wide variety of cargo, moving cargo, driving a forklift, or…"
499,General Office/Clerical- PART-Time,DMRS,$15 - $17 an hour,"We have a permanent, part time office position available in a fast-paced, pleasant, team environment with a positive work atmosphere."
500,Engineering Technician,"Czero, Inc.","$40,000 - $75,000 a year","Experience troubleshooting mechanical, electrical and other systems.We offer complete turnkey solutions and specialize in the analysis, design, build, test,…"
501,Production Worker,SKF,$17 - $21 an hour,"High School diploma/GED equivalent; specialized training or certification a plus.Growth opportunities, tuition reimbursement, voluntary critical illness…"
