,title,company,salary,summary
731,Summer 2021 Environmental Justice Intern (Parks),"Natural Resources Defense Council, Inc.",$600 a week,"Demonstrated commitment to public service, equity, social justice, and/or environmental justice;The intern will be paid a stipend of: $600 per week for an…"
732,Remote Life & Career Coach at MYNDUP - Mental Health Startup...,MYNDUP,$60 an hour,"\-Reduce employee Stress, Anxiety & Depression in 96% of users.\-Boost employee Confidence, Motivation & Productivity in 99% of users."
733,Customer Service Agent Part Time,American Airlines,,"Applicable valid driver’s license as required by local authorities.The Customer Service Agent interacts with customers in a courteous, efficient, friendly and…"
734,Warehouse Associate,Tesla,,"Must have a valid state driver’s license.This will include receiving, issuing, and organizing materials for maximum efficiency; and preparing material daily to…"
735,Experienced Employment Law Litigator,Abramson Labor Group,"$120,000 - $160,000 a year",Our litigation team is currently seeking an attorney with at least 2 years of civil litigation and at least 1 year employment law experience for our Los Angeles…
736,Sales Assistant for Food Dist. Co. (3 yrs exp) Bilingual in...,N.A. Trading Company,$17 - $19 an hour,"A Foods Distributor needs an Assistant Salesperson to process sales orders and invoices, take calls from customers, and help with tasks inside the office."
737,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
738,Looking to Work in Sustainability?,Farm Fresh to You,$20 - $40 an hour,"Employee discount of 40% off all organic fruits, vegetables & artisan farm products.Working knowledge of our food system, sustainability and environmental…"
739,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
740,Customer Assistance Representative,American Airlines,,Applicable valid driver’s license as required by local authorities.Processing and completing credit card baggage transactions at kiosks.
741,Warehouse Associate,Tesla,,"Must have a valid state driver’s license.This will include receiving, issuing, and organizing materials for maximum efficiency; and preparing material daily to…"
742,"Nike Pasadena Retail Sales Associate Part-Time (""Athlete"")",Nike,,"Maintain knowledge of various store departments and be available to operate cash register for regular transactions, perform shipping and receiving duties, stock…"
743,Customer Service Agent Part Time,American Airlines,,"Applicable valid driver’s license as required by local authorities.The Customer Service Agent interacts with customers in a courteous, efficient, friendly and…"
744,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
745,Technical Specialist,Apple,,"Flexibility to regularly rotate through different technical specialties and skill sets.As a Technical Specialist, you help new owners get started and current…"
746,Summer 2021 Environmental Justice Intern (Parks),"Natural Resources Defense Council, Inc.",$600 a week,"Demonstrated commitment to public service, equity, social justice, and/or environmental justice;The intern will be paid a stipend of: $600 per week for an…"
747,"Assistant, TV Production",Lionsgate,,"Provide administrative support including: rolling calls, maintaining calendar, scheduling meetings & conference calls, processing expense reports and preparing…"
748,Airport Operations Crew,JetBlue Airways Corporation,,"Depending upon location, may need to possess and maintain a valid Driver License and a driving record that meets JetBlue Airways’ insurance standards."
749,Remote Life & Career Coach at MYNDUP - Mental Health Startup...,MYNDUP,$60 an hour,"\-Reduce employee Stress, Anxiety & Depression in 96% of users.\-Boost employee Confidence, Motivation & Productivity in 99% of users."
750,Freelance Proofreader,RPA,,"RPA is seeking freelance ""on call"" proofreader to work with the Copy Desk and handle overflow workload from time to time.3/26/21 2:55 PM."
751,Boba Time USC Crew Member Position Available,It's Boba Time USC,From $14.25 an hour,"Must be able to get trained and work in all aspects of the store operation, including: kitchen, making boba drinks, working at the register and greeting…"
752,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
753,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
754,Looking to Work in Sustainability?,Farm Fresh to You,$20 - $40 an hour,"Employee discount of 40% off all organic fruits, vegetables & artisan farm products.Working knowledge of our food system, sustainability and environmental…"
755,Customer Assistance Representative,American Airlines,,Applicable valid driver’s license as required by local authorities.Processing and completing credit card baggage transactions at kiosks.
756,Technical Specialist,Apple,,"Flexibility to regularly rotate through different technical specialties and skill sets.As a Technical Specialist, you help new owners get started and current…"
757,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
758,"Nike Pasadena Retail Sales Associate Part-Time (""Athlete"")",Nike,,"Maintain knowledge of various store departments and be available to operate cash register for regular transactions, perform shipping and receiving duties, stock…"
759,Summer 2021 Environmental Justice Intern (Parks),"Natural Resources Defense Council, Inc.",$600 a week,"Demonstrated commitment to public service, equity, social justice, and/or environmental justice;The intern will be paid a stipend of: $600 per week for an…"
760,Remote Life & Career Coach at MYNDUP - Mental Health Startup...,MYNDUP,$60 an hour,"\-Reduce employee Stress, Anxiety & Depression in 96% of users.\-Boost employee Confidence, Motivation & Productivity in 99% of users."
761,Customer Service Agent Part Time,American Airlines,,"Applicable valid driver’s license as required by local authorities.The Customer Service Agent interacts with customers in a courteous, efficient, friendly and…"
762,Warehouse Associate,Tesla,,"Must have a valid state driver’s license.This will include receiving, issuing, and organizing materials for maximum efficiency; and preparing material daily to…"
763,,The Home Depot,,"These associates learn about products using our tools, and provide information to customers in order to sell an entire project."
764,Airport Operations Crew,JetBlue Airways Corporation,,"Depending upon location, may need to possess and maintain a valid Driver License and a driving record that meets JetBlue Airways’ insurance standards."
765,Warehouse Selector ($20.75 Hourly,UNFI,$20.75 an hour,"Shrink wraps and labels with correct truck, stop and other required information.Picks the correct item and quantity, checking UPC’s or item descriptions."
766,"Nike by Glendale Retail Sales Associate Part-Time (""Athlete""...",Nike,,"Maintain knowledge of various store departments and be available to operate cash register for regular transactions, perform shipping and receiving duties, stock…"
767,Looking to Work in Sustainability?,Farm Fresh to You,$20 - $40 an hour,"Employee discount of 40% off all organic fruits, vegetables & artisan farm products.Working knowledge of our food system, sustainability and environmental…"
768,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
769,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
770,Administrative Intern,Los Angeles Community College District,"$58,216 - $72,120 a year","A valid Class ""C"" California driver's license may be required for some positions.A bachelor's degree from a recognized college or university."
771,Customer Assistance Representative,American Airlines,,Applicable valid driver’s license as required by local authorities.Processing and completing credit card baggage transactions at kiosks.
772,Warehouse Associate,Tesla,,"Must have a valid state driver’s license.This will include receiving, issuing, and organizing materials for maximum efficiency; and preparing material daily to…"
773,"Nike Pasadena Retail Sales Associate Part-Time (""Athlete"")",Nike,,"Maintain knowledge of various store departments and be available to operate cash register for regular transactions, perform shipping and receiving duties, stock…"
774,Customer Service Agent Part Time,American Airlines,,"Applicable valid driver’s license as required by local authorities.The Customer Service Agent interacts with customers in a courteous, efficient, friendly and…"
775,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
776,Technical Specialist,Apple,,"Flexibility to regularly rotate through different technical specialties and skill sets.As a Technical Specialist, you help new owners get started and current…"
777,Summer 2021 Environmental Justice Intern (Parks),"Natural Resources Defense Council, Inc.",$600 a week,"Demonstrated commitment to public service, equity, social justice, and/or environmental justice;The intern will be paid a stipend of: $600 per week for an…"
778,"Assistant, TV Production",Lionsgate,,"Provide administrative support including: rolling calls, maintaining calendar, scheduling meetings & conference calls, processing expense reports and preparing…"
779,Airport Operations Crew,JetBlue Airways Corporation,,"Depending upon location, may need to possess and maintain a valid Driver License and a driving record that meets JetBlue Airways’ insurance standards."
780,Remote Life & Career Coach at MYNDUP - Mental Health Startup...,MYNDUP,$60 an hour,"\-Reduce employee Stress, Anxiety & Depression in 96% of users.\-Boost employee Confidence, Motivation & Productivity in 99% of users."
781,Freelance Proofreader,RPA,,"RPA is seeking freelance ""on call"" proofreader to work with the Copy Desk and handle overflow workload from time to time.3/26/21 2:55 PM."
782,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
783,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
784,Looking to Work in Sustainability?,Farm Fresh to You,$20 - $40 an hour,"Employee discount of 40% off all organic fruits, vegetables & artisan farm products.Working knowledge of our food system, sustainability and environmental…"
785,Customer Assistance Representative,American Airlines,,Applicable valid driver’s license as required by local authorities.Processing and completing credit card baggage transactions at kiosks.
786,Technical Specialist,Apple,,"Flexibility to regularly rotate through different technical specialties and skill sets.As a Technical Specialist, you help new owners get started and current…"
