,title,company,salary,summary
418,Crew Member **4AM-2PM** - Dunkin' Donuts Providence,Franchisee of Dunkin' Donuts,Up to $13 an hour,"Someone who comes to work with a positive attitude ready to provide an exceptional guest experience.Job Types: Full-time, Part-time."
419,CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
420,Customer Service Representative,Champion Management,"$49,000 - $54,000 a year","This position's main objective is to provide unwavering support to the customer, answering questions, offering service support, and delivering unique, tailored…"
421,Work from Home! State-Run Program for Discounted Green Energ...,Solar With No Panels,"$500 - $2,500 a week","And GUARANTEED savings of 10% - 30% of their electricity cost!""I was looking for a way to earn some money on a part-time basis, but I needed something that…"
422,"Dog Handler- ""Wrangler""",Ruffin' Wranglers Dog Excursion Company,$110 - $135 a day,"You must have a perfect driving record, absolutely adore dogs, be extremely dependable & quick to pick up on details & directions."
423,Customer Representative,Allstate Insurance Company,"$45,000 - $82,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
424,Amazon Order Filler (Multiple Shifts Available) - Earn up to...,Amazon,Up to $17.50 an hour,"Sort, scan, stack packages on pallets.Get customer orders ready for delivery.Use technology like scanners, computers, and handheld printers."
425,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
426,Deputy Town Clerk,"Town of Foster, RI","Up to $40,500 a year","Applicants must possess a thorough knowledge of office management procedures, practices, and systems; have the ability to provide leadership in training and…"
427,IT Assistant,Providence Performing Arts Center,,Conduct software and hardware evaluations and provide technical analysis and implement systems to meet IT's goals.2-4 years Windows Server experience.
428,HR Partner- Consumer Markets Boston,T-Mobile,,"Work collaboratively with HR support teams to ensure the effective development of transparent, meaningful and accessible leadership training, tools and…"
429,Analyst/Associate-Advisory Services,Hotel Asset Value Enhancement Inc. (hotelAVE),"$51,000 - $71,000 a year","The position assists in the preparation and deliverable of lodging related engagements in areas of acquisitions, dispositions, new development, lending services…"
430,AE - Brand Ambassador (Sales Associate) - US,American Eagle Outfitters,,Making your guests' day is your priority and you’re able to proactively resolve guest concerns while sticking to company policy.
431,Customer Representative,Allstate Insurance Company,"$45,000 - $82,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
432,Games Writing Co-op,Hasbro,,"Pursuing a degree in English, Creative Writing, Journalism, Communications, or a related field.Brainstorming with cross-functional design and marketing…"
433,Work from Home! State-Run Program for Discounted Green Energ...,Solar With No Panels,"$500 - $2,500 a week","And GUARANTEED savings of 10% - 30% of their electricity cost!""I was looking for a way to earn some money on a part-time basis, but I needed something that…"
434,Customer Service Representative,Champion Management,"$49,000 - $54,000 a year","This position's main objective is to provide unwavering support to the customer, answering questions, offering service support, and delivering unique, tailored…"
435,Warehouse (Multiple Shifts Available),Amazon,$16.50 an hour,"Sort, scan, stack packages on pallets.Get customer orders ready for delivery.Use technology like scanners, computers, and handheld printers."
436,CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
437,"Dog Handler- ""Wrangler""",Ruffin' Wranglers Dog Excursion Company,$110 - $135 a day,"You must have a perfect driving record, absolutely adore dogs, be extremely dependable & quick to pick up on details & directions."
438,Crew Member **4AM-2PM** - Dunkin' Donuts Providence,Franchisee of Dunkin' Donuts,Up to $13 an hour,"Someone who comes to work with a positive attitude ready to provide an exceptional guest experience.Job Types: Full-time, Part-time."
439,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
440,Internal Revenue Agent,Internal Revenue Service,,"In this position, you will use your professional knowledge and skill in accounting and auditing techniques and practices to examine various tax returns,…"
441,Deputy Town Clerk,"Town of Foster, RI","Up to $40,500 a year","Applicants must possess a thorough knowledge of office management procedures, practices, and systems; have the ability to provide leadership in training and…"
442,HR Partner- Consumer Markets Boston,T-Mobile,,"Work collaboratively with HR support teams to ensure the effective development of transparent, meaningful and accessible leadership training, tools and…"
443,Amazon Order Filler (Multiple Shifts Available) - Earn up to...,Amazon,Up to $17.50 an hour,"Sort, scan, stack packages on pallets.Get customer orders ready for delivery.Use technology like scanners, computers, and handheld printers."
444,Administrative Assistant/Receptionist,Jewish Community Day School of RI,$15 - $21 an hour,"Responsibilities include, but are not limited to: responding with warmth and patience to students, staff, teachers, and parents; sustaining administrative…"
445,Customer Representative,Allstate Insurance Company,"$45,000 - $82,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
446,Warehouse (Multiple Shifts Available),Amazon,$16.50 an hour,"Sort, scan, stack packages on pallets.Get customer orders ready for delivery.Use technology like scanners, computers, and handheld printers."
447,Crew Member **4AM-2PM** - Dunkin' Donuts Providence,Franchisee of Dunkin' Donuts,Up to $13 an hour,"Someone who comes to work with a positive attitude ready to provide an exceptional guest experience.Job Types: Full-time, Part-time."
448,Analyst/Associate-Advisory Services,Hotel Asset Value Enhancement Inc. (hotelAVE),"$51,000 - $71,000 a year","The position assists in the preparation and deliverable of lodging related engagements in areas of acquisitions, dispositions, new development, lending services…"
449,Games Writing Co-op,Hasbro,,"Pursuing a degree in English, Creative Writing, Journalism, Communications, or a related field.Brainstorming with cross-functional design and marketing…"
450,Amazon Order Filler (Multiple Shifts Available) - Earn up to...,Amazon,Up to $17.50 an hour,"Sort, scan, stack packages on pallets.Get customer orders ready for delivery.Use technology like scanners, computers, and handheld printers."
451,AE - Brand Ambassador (Sales Associate) - US,American Eagle Outfitters,,Making your guests' day is your priority and you’re able to proactively resolve guest concerns while sticking to company policy.
452,Work from Home! State-Run Program for Discounted Green Energ...,Solar With No Panels,"$500 - $2,500 a week","And GUARANTEED savings of 10% - 30% of their electricity cost!""I was looking for a way to earn some money on a part-time basis, but I needed something that…"
453,CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
454,Crew Member **4AM-2PM** - Dunkin' Donuts 552 Cranston Street...,Franchisee of Dunkin' Donuts,Up to $13 an hour,"Someone who comes to work with a positive attitude ready to provide an exceptional guest experience.Job Types: Full-time, Part-time."
455,Order Selector (Immediately Hiring) - Earn up to $19/hr,Amazon,Up to $19 an hour,"Sort, scan, stack packages on pallets.Get customer orders ready for delivery.Use technology like scanners, computers, and handheld printers."
456,Deputy Town Clerk,"Town of Foster, RI","Up to $40,500 a year","Applicants must possess a thorough knowledge of office management procedures, practices, and systems; have the ability to provide leadership in training and…"
457,Amazon Picker/Packer (Immediate Openings) - Earn up to $17.5...,Amazon,Up to $17.50 an hour,"Sort, scan, stack packages on pallets.Get customer orders ready for delivery.Use technology like scanners, computers, and handheld printers."
458,HR Partner- Consumer Markets Boston,T-Mobile,,"Work collaboratively with HR support teams to ensure the effective development of transparent, meaningful and accessible leadership training, tools and…"
459,Administrative Assistant/Receptionist,Jewish Community Day School of RI,$15 - $21 an hour,"Responsibilities include, but are not limited to: responding with warmth and patience to students, staff, teachers, and parents; sustaining administrative…"
460,Crew Member **4AM-2PM** - Dunkin' Donuts 552 Cranston Street...,Franchisee of Dunkin' Donuts,Up to $13 an hour,"Someone who comes to work with a positive attitude ready to provide an exceptional guest experience.Job Types: Full-time, Part-time."
461,Dunkin’ Crew / Dunkin’ Barista - 251 Smith St,Dan's Management Company D/B/A - Dunkin',$12.00 - $12.60 an hour,Strong guest focus - greets and serves guests while providing excellent customer service; anticipates and understands guest needs and strives to exceed…
462,Crew Member **4AM-2PM** - Dunkin' Donuts Providence,Franchisee of Dunkin' Donuts,Up to $13 an hour,"Someone who comes to work with a positive attitude ready to provide an exceptional guest experience.Job Types: Full-time, Part-time."
463,AE - Brand Ambassador (Sales Associate) - US,American Eagle Outfitters,,Making your guests' day is your priority and you’re able to proactively resolve guest concerns while sticking to company policy.
