,title,company,salary,summary
64,Amazon Warehouse Worker - 4 Day Work Week,Amazon Workforce Staffing,From $15 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
65,Amazon Picker Packer,Amazon Workforce Staffing,From $15 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
66,Entry Level Support Specialist,Advicent Solutions,,You will deliver outstanding customer support while answering user questions and communicating technical solutions in a professional manner.
67,Community Center/Recreation Coordinator,The City of Fitchburg,$19.75 - $22.57 an hour,"This position as our Community Center/Recreation Coordinator will coordinate the use of the community center facilities and park shelters, provide assistance…"
68,,Aquafix Inc.,$17 - $19 an hour,The current position is for a production technician who has a valid driver’s license and will be responsible for assisting with blending and packaging liquid…
69,"Rural Carrier Associate (RCA) - Sun Prairie, WI 3/28 to 4/3",United States Postal Service,$19.06 an hour,"Applicants must have a valid driver’s license, a safe driving record and at least two years driving experience.High school or equivalent (Preferred)."
70,Human Resources Manager,One City Schools,"From $75,000 a year","Ensure compliance with all federal, state, and local employment laws.Knowledge of and experience with educator recruitment and certification, preferred but not…"
71,Lab Sample Control and Rec. Tech - Objective,Wisconsin State Laboratory of Hygiene,From $17 an hour,"High school or equivalent (Preferred).Laboratory Experience: 1 year (Preferred).Sanitizing, disinfecting, or cleaning procedures in place."
72,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
73,Intern *,Morgan Stanley,,"Gain industry and organizational knowledge through daily business interactions and job assignments.Develop business, financial and analytical skills needed for…"
74,Employee Assistance Office Director,University of Wisconsin–Madison,,"Master's Degree in a mental health field, or equivalent education/experience required.Determines strategic direction and leads daily operations."
75,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
76,Part Time Ice Cream Scooper NEW STORE!!,Chocolate Shoppe Ice Cream,$8 - $10 an hour,This is a part time position with flexible scheduling.$8.00-$10.00/ hr plus tips and free ice cream.*.
77,Intern *,Morgan Stanley,,"Gain industry and organizational knowledge through daily business interactions and job assignments.Develop business, financial and analytical skills needed for…"
78,Library Page,"City of Madison, WI",$15 an hour,"Perform circulation-related duties (e.g. check out and check in library materials, collect fines, issue and reissue library cards, process holds, retrieve…"
79,Education Program Specialist,US Department of Veterans Affairs,"$53,433 - $69,462 a year",This experience must have been of such character and diversity to demonstrate that the applicant possesses an understanding of the field comparable to that…
80,Claims Adjuster Trainee,Progressive,,"Bachelor's degree or a combined total of five years of work experience and/or college education.Diverse, inclusive & welcoming culture with Employee Resource…"
81,Entry Level Support Specialist,Advicent Solutions,,You will deliver outstanding customer support while answering user questions and communicating technical solutions in a professional manner.
82,Community Center/Recreation Coordinator,The City of Fitchburg,$19.75 - $22.57 an hour,"This position as our Community Center/Recreation Coordinator will coordinate the use of the community center facilities and park shelters, provide assistance…"
83,Bookseller,"Half Price Books, Records, Magazines, Inc.",,"Every day, Booksellers get to work on a variety of tasks, including delivering quality customer service, sharing their knowledge about books, movies, and music…"
84,Warehouse Package Handler,FedEx Ground PH US,Up to $16 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
85,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
86,Police Officer,Madison Police Department,"$56,462 - $80,750 a year","As a veteran police officer you would attend our accelerated Academy, (taught in-house by MPD Training Staff, non-residential, Monday-Friday, 8a-4p, with full…"
87,Delivery Associate,Amazon DSP,$17.00 - $18.50 an hour,Must be comfortable driving and working in varying weather conditions.Able to get in and out of a van and walk up and down stairs through your shift.
88,Membership Experience and Programs Coordinator,BioForward Wisconsin,$24 - $29 an hour,"Must have a valid Wisconsin driver’s license.Write informational postings and articles for social media, web site, newsletters."
89,Scheduler (Temporary),SSM Health,,Frequent keyboard use/data entry.Frequent use of hearing and speech to share information through oral communication.High school diploma or equivalent.
90,Teacher,Academy of Little Vikings,$13 - $16 an hour,"A job for which all ages, including older job seekers, are encouraged to apply.High school or equivalent (Preferred).Only full-time employees eligible."
91,Prep Technician,Truckstar Collision Center,,Sanding using hand and power tools.Work on a huge variety of jobs repairing and painting trucks and other big vehicles.Wash and perform light detailing.
92,Maintenance Technician,The Lux Apartments,$13 - $17 an hour,"Valid driver's license and/or access to reliable transportation.You will collaborate with team members to assess and respond to maintenance issues, develop a…"
93,Package Sorter - Amazon Hiring Now!,Amazon Workforce Staffing,From $15 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
94,Amazon Picker Packer,Amazon Workforce Staffing,From $15 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
95,Preschool Teacher,Brilliant Beginnings,$15 - $17 an hour,"A state-required criminal background check will be performed prior to working.Teachers plan and implement a developmentally appropriate, play based curriculum,…"
96,CVT/ Veterinary Technician,"Community Care Veterinary Clinic, Inc",$14 - $21 an hour,"Possess a valid CVT certification (preferred but not required).Assisting in restraint, administering medications, animal care, client education, & light…"
97,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
98,Warehouse Team Member,Amazon HVH,,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
99,Seasonal Warehouse Team Member,Amazon HVH,,"In this active job you sort packages into delivery routes.You’ll work up to 19 hours per week on the days you choose.Work a set, full-time schedule."
100,Library Page,"City of Madison, WI",$15 an hour,"Perform circulation-related duties (e.g. check out and check in library materials, collect fines, issue and reissue library cards, process holds, retrieve…"
101,Intern *,Morgan Stanley,,"Gain industry and organizational knowledge through daily business interactions and job assignments.Develop business, financial and analytical skills needed for…"
102,Entry Level Support Specialist,Advicent Solutions,,You will deliver outstanding customer support while answering user questions and communicating technical solutions in a professional manner.
103,Delivery Associate,Amazon DSP,$17.00 - $18.50 an hour,Must be comfortable driving and working in varying weather conditions.Able to get in and out of a van and walk up and down stairs through your shift.
104,Medical Imaging Aide/Transporter,SSM Health,,"Works in a constant state of alertness and safe manner.Assists technologists with filing, delivering and retrieving patient reports and charts, matching films…"
105,Lottery Customer Service Specialist – Prize Claims & Payment...,State of Wisconsin,$18.69 - $26.00 an hour,"Experience providing customer service/assistance (e.g., responding to questions and concerns by answering phone calls, one-on-one interactions, etc.)."
106,Public Information Officer - Marketing Specialist,Dane County,$24.58 - $31.64 an hour,"Must have a valid driver’s license, or access to reliable personal transportation, or equivalent.Any combination of training and experience equivalent to a…"
107,Amazon Warehouse Worker - 4 Day Work Week,Amazon Workforce Staffing,From $15 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
108,Accountant / QuickBooks Consultant,DMA Tax & Accounting,$16 - $19 an hour,"Enter data for client revenue and expense transactions.Must have strong QuickBooks skills, ensure compliance with GAAP and the ability to work independently…"
109,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
110,Part Time Ice Cream Scooper NEW STORE!!,Chocolate Shoppe Ice Cream,$8 - $10 an hour,This is a part time position with flexible scheduling.$8.00-$10.00/ hr plus tips and free ice cream.*.
111,Library Page,"City of Madison, WI",$15 an hour,"Perform circulation-related duties (e.g. check out and check in library materials, collect fines, issue and reissue library cards, process holds, retrieve…"
112,Medical Imaging Aide/Transporter,SSM Health,,"Works in a constant state of alertness and safe manner.Assists technologists with filing, delivering and retrieving patient reports and charts, matching films…"
113,"Rural Carrier Associate (RCA) - Sun Prairie, WI 3/28 to 4/3",United States Postal Service,$19.06 an hour,"Applicants must have a valid driver’s license, a safe driving record and at least two years driving experience.High school or equivalent (Preferred)."
114,Amazon Warehouse Worker - 4 Day Work Week,Amazon Workforce Staffing,From $15 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
115,Community Center/Recreation Coordinator,The City of Fitchburg,$19.75 - $22.57 an hour,"This position as our Community Center/Recreation Coordinator will coordinate the use of the community center facilities and park shelters, provide assistance…"
116,Entry Level Support Specialist,Advicent Solutions,,You will deliver outstanding customer support while answering user questions and communicating technical solutions in a professional manner.
117,,One City Schools,"From $75,000 a year","Ensure compliance with all federal, state, and local employment laws.Knowledge of and experience with educator recruitment and certification, preferred but not…"
118,Production Technician,Aquafix Inc.,$17 - $19 an hour,The current position is for a production technician who has a valid driver’s license and will be responsible for assisting with blending and packaging liquid…
119,Amazon Picker Packer,Amazon Workforce Staffing,From $15 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
120,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
121,Intern *,Morgan Stanley,,"Gain industry and organizational knowledge through daily business interactions and job assignments.Develop business, financial and analytical skills needed for…"
122,Lab Sample Control and Rec. Tech - Objective,Wisconsin State Laboratory of Hygiene,From $17 an hour,"High school or equivalent (Preferred).Laboratory Experience: 1 year (Preferred).Sanitizing, disinfecting, or cleaning procedures in place."
123,Patient Access Representative I,SSM Health,,Performs clerical and reception duties associated with patient registration.Assists with coordination of activities related to insurance pre-certification…
124,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
125,Part Time Ice Cream Scooper NEW STORE!!,Chocolate Shoppe Ice Cream,$8 - $10 an hour,This is a part time position with flexible scheduling.$8.00-$10.00/ hr plus tips and free ice cream.*.
126,Intern *,Morgan Stanley,,"Gain industry and organizational knowledge through daily business interactions and job assignments.Develop business, financial and analytical skills needed for…"
127,Library Page,"City of Madison, WI",$15 an hour,"Perform circulation-related duties (e.g. check out and check in library materials, collect fines, issue and reissue library cards, process holds, retrieve…"
128,Amazon Warehouse Worker - 4 Day Work Week,Amazon Workforce Staffing,From $15 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
129,Education Program Specialist,US Department of Veterans Affairs,"$53,433 - $69,462 a year",This experience must have been of such character and diversity to demonstrate that the applicant possesses an understanding of the field comparable to that…
130,Police Officer,Madison Police Department,"$56,462 - $80,750 a year","As a veteran police officer you would attend our accelerated Academy, (taught in-house by MPD Training Staff, non-residential, Monday-Friday, 8a-4p, with full…"
131,Claims Adjuster Trainee,Progressive,,"Bachelor's degree or a combined total of five years of work experience and/or college education.Diverse, inclusive & welcoming culture with Employee Resource…"
132,Amazon Picker Packer,Amazon Workforce Staffing,From $15 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
133,Membership Experience and Programs Coordinator,BioForward Wisconsin,$24 - $29 an hour,"Must have a valid Wisconsin driver’s license.Write informational postings and articles for social media, web site, newsletters."
134,Receptionist/Administrative Assistant,Buit Mobility Solutions,$12 - $16 an hour,Computer skills are needed as you will also do ordering and order entry.Maintaining supplies for front office.Matching packing lists with invoices.
135,Community Center/Recreation Coordinator,The City of Fitchburg,$19.75 - $22.57 an hour,"This position as our Community Center/Recreation Coordinator will coordinate the use of the community center facilities and park shelters, provide assistance…"
136,Bookseller,"Half Price Books, Records, Magazines, Inc.",,"Every day, Booksellers get to work on a variety of tasks, including delivering quality customer service, sharing their knowledge about books, movies, and music…"
137,Warehouse Package Handler,FedEx Ground PH US,Up to $16 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
138,Entry Level Support Specialist,Advicent Solutions,,You will deliver outstanding customer support while answering user questions and communicating technical solutions in a professional manner.
139,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
