,title,company,salary,summary
45,Customer Service Intern,Sauce Agency,"$44,000 - $84,000 a year",Work collaboratively on cross-functional projects and coordinate with technical and non-technical teams to fine-tune new and existing programs.
46,Service Desk,Planet Fitness,$16.69 an hour,"Answering info calls over the phone and taking messages.The customer service staff, or commonly called the front desk staff, is the core of the gym."
47,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
48,Amazon In-Store Shopper (Immediate Openings!) - Earn $16.75/...,Amazon,From $16.75 an hour,"Through this program you’ll be able to earn certificates and associate degrees in high-wage, in-demand occupations such as aircraft mechanics, computer-aided…"
49,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
50,Administrative Assistant - Aerospace Company,"Jemco Components and Fabrication, Inc.",$20 - $28 an hour,This position requires an engaged personality and amazing attention to detail.High school or equivalent (Preferred).
51,United States Secret Service Criminal Investigator (Special...,United States Secret Service,"$49,016 - $139,916 a year","Show us you have the talent and background we need, and we will show you the rewards of joining the U.S. Secret Service as a Criminal Investigator (Special…"
52,Transcriptionist,Allegis Transcription,,Allegis transcriptionists work remotely as independent contractors providing high-quality legal and insurance transcription.A transparent QA feedback program.
53,Seasonal Baseball Information Game Day Assistant,The Seattle Mariners Baseball Club,,"Assist in writing daily game notes, minor league reports, postgame notes and answering phones.Exhibits effective listening skills and builds positive…"
54,Temporary Customer Service Representative,City of Seattle,$27.22 - $30.48 an hour,"One (1) year of clerical experience including public contact in a customer service environment or a related field,."
55,Client Advisor - Seattle Bravern,Louis Vuitton,,By striving to discover your Clients and their every need you will tailor their experience within our store in order to elevate their experience and impression…
56,Certificated Recruiting and Hiring Coordinator,Lake Washington School District,"$86,824 a year",This position is responsible for the implementation and coordination of the District’s hiring processes and policies for certificated positions.
57,Seasonal Ice Cream Scooper - Capitol Hill,Salt & Straw,$16.57 an hour,"Provide outstanding customer service in a fast-paced, high-volume environment.No previous work experience required."
58,What we offer,501 Commons,$22 - $24 an hour,"Flexibility: Ability to set your own schedule within a M-F, 7 am – 7 pm timeframe, including working remotely and/or from home."
59,Library Technician,Perkins Coie,,"Primary responsibilities are to review and check in incoming library materials.Other duties include shelving, filing, interlibrary loan processing and shipping…"
60,Lead Estate Gardener,Cambium Inc,$21 - $25 an hour,"For current phase of Washington State economy opening, crew must get to the work site on their own.Cambium pays mileage between sites."
61,Supreme Dog Lover & Pack Leader,LDCD,$16.69 - $17.00 an hour,Encourage Dogs to play but keep them safe and protect them.Bring your Dog to work (providing he/she meets health requirements and passes evaluation).
62,Amazon Warehousing Worker (Multiple Shifts Available) - Earn...,Amazon,Up to $17.95 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
63,Collision Repair Technician,Collision Masters,$20 - $24 an hour,"Journey level collision tech. must have own tools. self motivated and able to work in a low supervision atmosphere. experience with aluminum is a plus, but not…"
64,Amazon In-Store Shopper (Immediate Openings!) - Earn $16.75/...,Amazon,From $16.75 an hour,"Through this program you’ll be able to earn certificates and associate degrees in high-wage, in-demand occupations such as aircraft mechanics, computer-aided…"
65,,Orthopedic Physician Associates a Division of Proliance Surgeons,,"General purpose is to triage patient phone calls, questions, and correspondence.Degree/current certification as an RN, LPN, ATC or MA (we will facilitate MA-R)…"
66,Class B Delivery Driver,Charlie's Produce,$21 - $22 an hour,Valid class B license and medical card.New drivers go through comprehensive training tailored to specific needs of individual drivers.
67,Customer Service Intern,Sauce Agency,"$44,000 - $84,000 a year",Work collaboratively on cross-functional projects and coordinate with technical and non-technical teams to fine-tune new and existing programs.
68,Service Desk,Planet Fitness,$16.69 an hour,"Answering info calls over the phone and taking messages.The customer service staff, or commonly called the front desk staff, is the core of the gym."
69,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
70,Library Technician,Perkins Coie,,"Primary responsibilities are to review and check in incoming library materials.Other duties include shelving, filing, interlibrary loan processing and shipping…"
71,Seasonal Ice Cream Scooper - Capitol Hill,Salt & Straw,$16.57 an hour,"Provide outstanding customer service in a fast-paced, high-volume environment.No previous work experience required."
72,What we offer,501 Commons,$22 - $24 an hour,"Flexibility: Ability to set your own schedule within a M-F, 7 am – 7 pm timeframe, including working remotely and/or from home."
73,Warehouse Package Handler,FedEx Ground PH US,Up to $18 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
