,title,company,salary,summary
1040,Correctional Officer,City of Lincoln & Lancaster County,$21.43 - $30.11 an hour,Possession of a valid driver's license when operating a vehicle is required in the performance of assigned duties.Knowledge of the criminal justice system.
1041,Housekeeper - 2021 Season,American Cruise Lines,$700 - $900 a week,Our Housekeepers have the cleanliness of our guests’ rooms and public areas as their top priority.You are an American citizen or valid Green Card holder.
1042,Drug Technician (Female Only),State of Nebraska,"$2,236 a month",Communicating on a regular basis with probation staff and documenting results of drug/alcohol testing for case files.
1043,Packaging Machine Operator,Conagra Brands,$19.30 an hour,"All procedures and practices used are grounded in standards, regulations and laws addressing occupational safety (OSHA), building and electrical codes, and food…"
1044,CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
1045,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
1046,Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
1047,Barista/Cafe Server - Part-Time,Barnes & Noble,,Ensure all customer transactions are processed accurately and in a timely manner.Protect Company assets by ensuring the accurate execution of loss prevention…
1048,Police Records Technician,City of Lincoln & Lancaster County,$19.35 - $22.11 an hour,Necessary Special Requirement: Employees are required to obtain and maintain certification on the National Crime Information Center computer system.
1049,"Secretary 3, Counseling/School Social Work Support, 260Day,...",Lincoln Public Schools,$19.99 an hour,"This position is responsible for all administrative support and budget duties for school social workers, counselors, and Crisis Response Team."
1050,Cashier,Michaels,,Participate in the truck un-load and stocking processes to ensure truck standards are followed and completed within budget.Execute cash handling to standards.
1051,Library - Summer Outreach Temp Worker (Professional/Technica...,City of Lincoln & Lancaster County,$18.78 an hour,"Travel to scheduled sites, read books, conduct crafts, distribute Summer Reading Program materials, register youth for the Summer Reading Program, check out…"
1052,Administrative Assistant,Liberty Healthcare Corporation,$20 an hour,"This will include serving as receptionist, making outbound calls to stakeholders, scheduling, copying, scanning, filing, receiving and distributing office…"
1053,Office Assistant,City of Lincoln & Lancaster County,$14.77 - $19.53 an hour,"Provides clerical support including typing, filing, word processing, data entry, answering phones, record keeping, and related duties."
1054,Correctional Officer,City of Lincoln & Lancaster County,$21.43 - $30.11 an hour,Possession of a valid driver's license when operating a vehicle is required in the performance of assigned duties.Knowledge of the criminal justice system.
