,Unnamed: 0,City,title,company,salary,summary
721,721,"DodgeCity, KS",Teacher Assistant,First Christian Church Child Care Center,From $7.50 an hour,"Meet the emotional, social, physical and cognitive needs of each child Encourage assistants to contribute to curriculum planning Coordinate field trips Prepare…"
722,722,"DodgeCity, KS",Industrial Journeyman & Helper Electricians,360 Industrial Services,Up to $30 an hour,The project will be in a Ammonia plant working in a plant environment.We are also seeking a helper to assist the Journeyman.
723,723,"DodgeCity, KS",Administrative Assistant,"Link Staffing Services, Inc.",$14.00 - $14.50 an hour,Answering and routing phone calls.Monitor the contractor drawings and maintaining records of installations.Ensure that the schedule and budget are maintained…
724,724,"DodgeCity, KS",PSE SALES & SVCS/DISTRIBUTION ASSOCIATE,United States Postal Service,$18.49 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.At the level required by the job."
725,725,"DodgeCity, KS",Dodge City:,YMCA of Southwest Kansas,,Dodge City…
726,726,"DodgeCity, KS",Registered Nurse - Primary Care CBOC,US Department of Veterans Affairs,"$56,896 - $105,351 a year",Nurse II - A BSN with approximately 2-3 years of nursing practice/experience; OR ADN or Diploma in Nursing and a Bachelor's degree in a related field and…
727,727,"DodgeCity, KS",SALES ASSOCIATE,Dollar General,,Operate cash register and flatbed scanner to itemize and total customer's purchase; bag merchandise.Clean front end of store and help set up sidewalk displays…
728,728,"DodgeCity, KS",Teacher Assistant,First Christian Church Child Care Center,From $7.50 an hour,"Meet the emotional, social, physical and cognitive needs of each child Encourage assistants to contribute to curriculum planning Coordinate field trips Prepare…"
729,729,"DodgeCity, KS",Human Resources Specialist,Boot Hill Casino & Resort,"From $40,000 a year","Recruitment, on-boarding, and retention,.Participate in an engaging work environment, and.Must be at least 21 years of age and able to obtain a Kansas Racing …"
730,730,"DodgeCity, KS",Theatre Staff,B&b Theatres Ks Llc,,"Greeting guests upon arrival and making them feel welcome.Our Frontline team is cross-trained to work behind the concession stand and box office, interacting…"
731,731,"DodgeCity, KS",Dillons Retail Clerk (Dodge City Dillons),Dillons,,Assist customers at checkout and bag groceries.Build attractive displays and stock shelves.Select and gather products to fulfill customer’s online orders.
732,732,"DodgeCity, KS",,Adecco General Staffing,"$10,000 a year","Over the course of the month, you’ll travel across the United States shadowing our CEO and making your impact on the Group’s strategic vision."
733,733,"DodgeCity, KS",Assistant Bookkeeper,"Ford County, KS",$15.00 - $16.25 an hour,"Under the supervision of the County Treasurer, The Accounting Assistant is responsible for maintaining accurate records of all tax transactions and assisting…"
734,734,"DodgeCity, KS","General Production - Full Time - Dodge City, KS",Cargill,,"General use of a knife or other tools.This is a full-time position located in Dodge City, KS and does not provide any type of relocation assistance."
735,735,"DodgeCity, KS",Store Team Member,Casey's General Stores,,Smile and greet our guests while running the cash register.Discount on prepared food made from our kitchen while working.
736,736,"DodgeCity, KS",Patient Account Representative,Parallon,,"You will refer calls/accounts to appropriate parties based on customer inquiries.Your benefits include 401k, PTO, medical, dental, vision, flex spending, life,…"
737,737,"DodgeCity, KS",FEDEX ROUTE DRIVER,MAVRICK ENTERPRISES INC,From $140 a day,"MUST BE AT LEAST 21 YEARS OF AGE.MUST HAVE 1 YEAR DRIVING EXPERIENCE IN THE LAST 3 YEARS DRIVING A SCHOOL BUS, FARM TRUCK, DELIVER TRUCK ETC.."
738,738,"DodgeCity, KS",Servers and Line Cooks for Cowboy Capital Saloon and Grill,301 4th Ave Dodge City Ks,,"Line cooks, kitchen prep, and servers needed.Full time and part time availability.Job Types: Full-time, Part-time."
739,739,"DodgeCity, KS",PSE SALES & SVCS/DISTRIBUTION ASSOCIATE,United States Postal Service,$18.49 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.At the level required by the job."
740,740,"DodgeCity, KS",Customer Sales Associate,Rent-A-Center,,We offer a comprehensive and competitive benefits package that includes everything from health insurance to a 401(k) and generous paid time off.
741,741,"DodgeCity, KS",SALES ASSOCIATE,Dollar General,,Operate cash register and flatbed scanner to itemize and total customer's purchase; bag merchandise.Clean front end of store and help set up sidewalk displays…
742,742,"DodgeCity, KS",Dodge City:,YMCA of Southwest Kansas,,Dodge City…
743,743,"DodgeCity, KS",Industrial Journeyman & Helper Electricians,360 Industrial Services,Up to $30 an hour,The project will be in a Ammonia plant working in a plant environment.We are also seeking a helper to assist the Journeyman.
744,744,"DodgeCity, KS",Dillons Retail Clerk (Dodge City Dillons),Dillons,,Assist customers at checkout and bag groceries.Build attractive displays and stock shelves.Select and gather products to fulfill customer’s online orders.
745,745,"DodgeCity, KS",Registered Nurse - Primary Care CBOC,US Department of Veterans Affairs,"$56,896 - $105,351 a year",Nurse II - A BSN with approximately 2-3 years of nursing practice/experience; OR ADN or Diploma in Nursing and a Bachelor's degree in a related field and…
746,746,"DodgeCity, KS",Human Resources Specialist,Boot Hill Casino & Resort,"From $40,000 a year","Recruitment, on-boarding, and retention,.Participate in an engaging work environment, and.Must be at least 21 years of age and able to obtain a Kansas Racing …"
747,747,"DodgeCity, KS",Transportation Security Officer (TSO),Transportation Security Administration,$18.16 - $25.23 an hour,"Per the President's 2014 Fair Employment memo, TSA policy is to not adversely consider a candidate based on unemployment or financial difficulty through no…"
748,748,"DodgeCity, KS",Theatre Staff,B&b Theatres Ks Llc,,"Greeting guests upon arrival and making them feel welcome.Our Frontline team is cross-trained to work behind the concession stand and box office, interacting…"
749,749,"DodgeCity, KS",,Adecco General Staffing,"$10,000 a year","Over the course of the month, you’ll travel across the United States shadowing our CEO and making your impact on the Group’s strategic vision."
750,750,"DodgeCity, KS",Administrative Assistant,"Link Staffing Services, Inc.",$14.00 - $14.50 an hour,Answering and routing phone calls.Monitor the contractor drawings and maintaining records of installations.Ensure that the schedule and budget are maintained…
751,751,"DodgeCity, KS",Patient Account Representative,Parallon,,"You will refer calls/accounts to appropriate parties based on customer inquiries.Your benefits include 401k, PTO, medical, dental, vision, flex spending, life,…"
752,752,"DodgeCity, KS",Industrial Journeyman & Helper Electricians,360 Industrial Services,Up to $30 an hour,The project will be in a Ammonia plant working in a plant environment.We are also seeking a helper to assist the Journeyman.
753,753,"DodgeCity, KS",PSE SALES & SVCS/DISTRIBUTION ASSOCIATE,United States Postal Service,$18.49 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.At the level required by the job."
754,754,"DodgeCity, KS",Dodge City:,YMCA of Southwest Kansas,,Dodge City…
755,755,"DodgeCity, KS",Registered Nurse - Primary Care CBOC,US Department of Veterans Affairs,"$56,896 - $105,351 a year",Nurse II - A BSN with approximately 2-3 years of nursing practice/experience; OR ADN or Diploma in Nursing and a Bachelor's degree in a related field and…
756,756,"DodgeCity, KS",Administrative Assistant,"Link Staffing Services, Inc.",$14.00 - $14.50 an hour,Answering and routing phone calls.Monitor the contractor drawings and maintaining records of installations.Ensure that the schedule and budget are maintained…
757,757,"DodgeCity, KS",SALES ASSOCIATE,Dollar General,,Operate cash register and flatbed scanner to itemize and total customer's purchase; bag merchandise.Clean front end of store and help set up sidewalk displays…
758,758,"DodgeCity, KS",Teacher Assistant,First Christian Church Child Care Center,From $7.50 an hour,"Meet the emotional, social, physical and cognitive needs of each child Encourage assistants to contribute to curriculum planning Coordinate field trips Prepare…"
759,759,"DodgeCity, KS",Human Resources Specialist,Boot Hill Casino & Resort,"From $40,000 a year","Recruitment, on-boarding, and retention,.Participate in an engaging work environment, and.Must be at least 21 years of age and able to obtain a Kansas Racing …"
760,760,"DodgeCity, KS",Theatre Staff,B&b Theatres Ks Llc,,"Greeting guests upon arrival and making them feel welcome.Our Frontline team is cross-trained to work behind the concession stand and box office, interacting…"
761,761,"DodgeCity, KS",Dillons Retail Clerk (Dodge City Dillons),Dillons,,Assist customers at checkout and bag groceries.Build attractive displays and stock shelves.Select and gather products to fulfill customer’s online orders.
762,762,"DodgeCity, KS",,Adecco General Staffing,"$10,000 a year","Over the course of the month, you’ll travel across the United States shadowing our CEO and making your impact on the Group’s strategic vision."
763,763,"DodgeCity, KS",Assistant Bookkeeper,"Ford County, KS",$15.00 - $16.25 an hour,"Under the supervision of the County Treasurer, The Accounting Assistant is responsible for maintaining accurate records of all tax transactions and assisting…"
764,764,"DodgeCity, KS","General Production - Full Time - Dodge City, KS",Cargill,,"General use of a knife or other tools.This is a full-time position located in Dodge City, KS and does not provide any type of relocation assistance."
765,765,"DodgeCity, KS",Store Team Member,Casey's General Stores,,Smile and greet our guests while running the cash register.Discount on prepared food made from our kitchen while working.
766,766,"DodgeCity, KS",Patient Account Representative,Parallon,,"You will refer calls/accounts to appropriate parties based on customer inquiries.Your benefits include 401k, PTO, medical, dental, vision, flex spending, life,…"
767,767,"DodgeCity, KS",PSE SALES & SVCS/DISTRIBUTION ASSOCIATE,United States Postal Service,$18.49 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.At the level required by the job."
768,768,"DodgeCity, KS",Administrative Assistant,"Link Staffing Services, Inc.",$14.00 - $14.50 an hour,Answering and routing phone calls.Monitor the contractor drawings and maintaining records of installations.Ensure that the schedule and budget are maintained…
769,769,"DodgeCity, KS",SALES ASSOCIATE,Dollar General,,Operate cash register and flatbed scanner to itemize and total customer's purchase; bag merchandise.Clean front end of store and help set up sidewalk displays…
770,770,"DodgeCity, KS",Dodge City:,YMCA of Southwest Kansas,,Dodge City…
771,771,"DodgeCity, KS",Teacher Assistant,First Christian Church Child Care Center,From $7.50 an hour,"Meet the emotional, social, physical and cognitive needs of each child Encourage assistants to contribute to curriculum planning Coordinate field trips Prepare…"
772,772,"DodgeCity, KS",Patient Account Representative,Parallon,,"You will refer calls/accounts to appropriate parties based on customer inquiries.Your benefits include 401k, PTO, medical, dental, vision, flex spending, life,…"
